Nombre,Sexo,Circular,Origen y Comentarios
,,,NOMBRE: COMUN GENERO: MASCULINO
,,,VARIACION DE GENERO: DARIA. 
Darko,M,...9/00,
Darnell,M,012-DGRC-2000,
Darrel,M,012-DGRC-2000,
Darren,M,012-DGRC-2000,
Darrin,M,012-DGRC-2000,
Darrion,M,012-DGRC-2000,
Darryl,M,012-DGRC-2000,
Darshan,M,012-DGRC-2000,
Daryl,A,ACOMP/OTRO 12/00,
Dasio,M,SANTORAL,
Dativo,M,SANTORAL,ORIGEN: LATIN
,,,"SIGNIFICADO: DEL LATIN ""DATIVUS"", TERMINO DEL DERECHO RO MANO QUE SE APLICA A LOS TUTORES, PERTENECIENTE AL DAR"
,,,GENERO: MASCULI NO
,,,VARIACION DE GENERO: DATIVA.  
Dato,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""DATUS"", DADO, CORRESPONDE A DONA TO, RAIZ INDOEUROPEA ""DO"": DAR, SAN DATO, OBISPO DE RAVENA DEL SIGLO II"
,,,GENERO: MASCULINO  
Dave,M,012-DGRC-2000,
Davi,M,19/01,
David,M,289/52,ORIGEN: HEBREO
,,,"SIGNIFICADO: EL AMADO POR DIOS, HIJO MENOR DE ISAJ O JESE, CABEZA DE TRIBU, VENERADO COMO SANTO EN LA IGLESIA CATOLICA."
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Davin,M,012-DGRC-2000,
Davino,M,SANTORAL,
Davis,M,012-DGRC-2000,
Davor,M,Mar-94,
De Dios,M,M.C/OTRO 874/76,
De Jesus,M,Jun-00,
De la Cruz,A,PREC/OTRO-354/54,
De la Merced,A,ACOMP/OTRO-P.BS AS,
De la Paz,A,PREC/OTRO-867/75,
De Lujan,A,PRECED/OTRO-121/98,
Deacon,M,012-DGRC-2000,
Dean,M,012-DGRC-2000,
Decio,M,682/68,ORIGEN: LATINO
,,,"SIGNIFICADO: DERIVADO DE UNA GENS ROMANA (EQUIVALE A DECIMO), SAN DECIO, MARTIR ITALIANO DEL SIGLO IV"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: DECIA.-  
Decker,M,012-DGRC-2000,
Decoroso,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO; DEL LATIN ""DECOROSUS"" DERIVADO DE ""DECORUS"": QUE ESTA BIEN, CONVENIENTEPROCEDE DE ""DECET"": CONVIENE COMO DECENTE, DIGNO, SAN DECOROSO, OBISPO DE CAPUA EN EL SIGLO VII"
,,,GENERO: MASCULINO.- 
Dedalo,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: HIJO DE ALCIPE, UNA NIETA DE CRECOPE, EL QUE ES HABIL ARTISTA- HABIL"
,,,GENERO: MASCULINO.-  
Deian,M,20/01,
Deicola,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""DEICOLA"", DE DEUS(DIOS) Y ""COLO CULTIVAR, MORAR: EL QUE CULTIVA A DIOS, SAN DEICOLA, ABAD BRETON DISCIPULO DE SAN COLUMBANO"
,,,GENERO: MASCULINO.-  
Dekel,M,18/02,
Del Carmen,A,PREC/OTRO-378/55,
Del Cielo,A,ACOMP/OTRO-P.BS AS,
Del Corazon de Jesus,A,PREC/OTRO-342/53,
Del Milagro,A,ACOMP/OTRO-949/83,
Del Rocio,A,ACOMP/OTRO 11/98,
Del Rosario,A,ACOMP/OTRO-817/72,
Del Sagr.C.de Jesus,A,PREC/OTRO-874/76,
Del Sagrado Corazón,A,PREC/OTRO-871/76,
Del Solar,A,ACOMP/OTRO-P.BS AS,
Del Valle,A,PREC/OTRO-354/54,
Delano,M,012-DGRC-2000,
Delbert,M,012-DGRC-2000,
Delfin,M,Dec-91,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DE FORMAS GRACILES Y BELLASEN LA MITOLO GIA GRIEGA ERA EL DRAGON QUE GUARDABA EL ORACULO DE DELFOSOBISPO DE BURDEUS, SIGLO IV"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENE RO: DELFINA. 
Delfino,M,COMUN,SIGNIFICADO: VARIEDAD DE DELFIN
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO  
Delfor,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: VENIDO DE DELFOS, VARIACION DE DELFIN"
,,,GENERO; MASCULINO.-  
Delsin,M,012-DGRC-2000,
Deman,M,012-DGRC-2000,
Demetrio,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: PERTENECIENTE A DEMETER (MADRE DE LA TIE- RRA), NOMBRE PROPIO DE 4 PERSONAS BIBLICAS, ENTRE LOS SANTOS DE ESTE NOM BRE SE ENCUENTRA EL PROCONSUL ROMANO MARTIR DEL SIGLO IV"
,,,NOMBRE: CO- MUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: DEMETRIA. 
Demetrius,M,012-DGRC-2000,
Demian,M,494/58,
Democrito,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: ESCOGIDO POR EL PUEBLO, JUEZ, ARBITRO DEL PUEBLO, ILUSTRE FILOSOFO GRIEGO DEL SIGLO V A. C."
,,,GENERO: MASCULINO.-  
Demostenes,M,903/78,ORIGEN: GRIEGO
,,,SIGNIFICADO: EL QUE DOMINA AL PUEBLO
,,,GENERO: MASCULINO  
Dempsey,A,012-DGRC-2000,
Dempster,M,012-DGRC-2000,
Denis,M,911/79,
Dennis,M,012-DGRC-2000,
Denver,A,012-DGRC-2000,
Denzel,M,19/01,
Deogracias,M,COMUN,
Der,M,012-DGRC-2000,
Derek,M,14/93,
Derex,M,012-DGRC-2000,
Derlis,M,1-May,
Dermot,M,012-DGRC-2000,
Derrick,M,012-DGRC-2000,
Derry,M,012-DGRC-2000,
Desi,M,012-DGRC-2000,
Desiderio,M,SANTORAL,
Desmond,M,012-DGRC-2000,
Deverell,A,012-DGRC-2000,
Devin,A,012-DGRC-2000,
Devlin,M,012-DGRC-2000,
Devnet,M,012-DGRC-2000,
Devon,A,012-DGRC-2000,
Dewey,M,012-DGRC-2000,
Dexter,M,012-DGRC-2000,
Dharvinder,A,ACOMP/OTRO.12/99,
Dheera,M,15/02,
Dhyan,M,4-Aug,
Diallo,M,012-DGRC-2000,
Dick,M,012-DGRC-2000,
Dictimio,M,SANTORAL,
Didier,M,19/88,ORIGEN: FRANCES
,,,"SIGNIFICADO: FORMA FRANCESA DE DESIDERIO, CONCEDIDO POR DIOS, EQUIVALE AL ESPA¥OL DIOSDADO, POCO USADO ACTUALMENTE. GENERO; MASCULINO.  "
Didimo,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DOBLEGEMELOREDUPLICATIVO, HERMANO MELLIZO SOBRENOMBRE QUE SE LE DA AL HERMANO TOMAS"
,,,NOMBRE: COMUN
,,,GENERO: MASCU LINO  
Didio,M,COMUN,ORIGEN: LATINO
,,,SIGNIFICADO: AL QUE DIOS CONCEDIO GRACIA
,,,GENERO: MAS- CULINO.-  
Diederik,M,012-DGRC-2000,
Diego,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DEL LATIN ""DIDACUS"": EL QUE ENSE¥A, EL QUE ES MUY INSTRUIDO, NOMBRE ESPA¥OL E ITALIANO (CORRUPCION DE JACOBO), SU ETIMOLOGIA SE REALCIONA CON EL ARCAISMO""DIAGO"" QUE LUEGO SE HIZO DIEGO NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,
Dieter,M,012-DGRC-2000,
Dikran,M,3-Jan,
Dillan,M,012-DGRC-2000,
Dillon,M,012-DGRC-2000,
Dimas,M,749/70,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL COMPA¥ERO, NOMBRE DE LA MITOLOGIA GRIEGA NOMBRE DEL BUEN LADRON Y PRIMER SANTO CRISTIANO, A QUIEN JESUS DIJO:"" HOY ESTARAS CONMIGO EN EL PARAISO""-ESTE NOMBRE ESTA ATRIBUIDO POR LA IGLESIA GRIEGA AL CRUCIFICADO A LA DERECHA DEL REDENTOR"
,,,GENERO: MASCU 
Dimitri,M,19/88,
Dino,M,455/56,"SIGNIFICADO: DIMINUTIVO ITALIANO DE ""BERNARDINO""(FORMADO EN EL ROMANCE NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: DINA.  
Dio,A,ACOMP/OTRO.20/01,
Diocleciano,M,COMUN,
Diocles,M,781/71,ORIGEN: GRIEGO
,,,SIGNIFICADO: GLORIA DIVINA
,,,GENERO: MASCULINO  
Diodoro,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DON DE ZEUS, EN LA MITOLOGIA UN NIETO DE HERCULES QUE SOMETIO A MUCHOS PUEBLOS AFRICANOSEN EL SANTORAL, UN MAR TIR ROMANO"
,,,GENERO: MASCULINO.-  
Diogenes,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL GENERADO POR ZEUS, EL QUE VINO AL MUNDO POR DIOS, FILOSOFO CINICO DE SINOPE"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Diomedes,M,COMUN,ORIGEN: GRIEGO
,,,SIGNIFICADO: PENSAMIENTOPLANMEDITACIONEL QUE CONFIA EN LA PROTECCION DE DIOS
,,,"MEDICO MARTIRIZADO EN NICEA (SANTORAL)-REY DE ARGOS, HIJO DE TIDEO Y DEIFILA"
,,,GENERO: MASCULINO.  
Diomid,M,4-Nov,
Dion,M,19/95,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL HOMBRE DE ZEUS, EL QUE SE CONSAGRA A DIOS, VARIANTE DE DIONISIO, SAN DION, MARTIR EN CAMPANIA (SIGLO III) GENERO: MASCULINO-  "
Dionel,M,Oct-97,
Dionisio,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL QUE SE CONSAGRA A DIOS EN LA ADVERSIDAD DE DIOS, GENITIVO DE ZEUS, NOMBRE DEL DIOS BACO, HIJO DE PERSEFONE Y ZEUS O BIEN DE SEMELE Y ZEUSINSPIRO LAS FIESTAS DIONISIACAS DONDE NACIERON LA COMEDIA Y LA TRAGEDIA, ENTRE LOS SANTOS, EL AREOPAGITA SAN DIONISIO "
Dionysus,M,012-DGRC-2000,
Dioscoro,M,782/71,ORIGEN: LATINO
,,,"SIGNIFICADO: DE ""DOMINICUS"": SE¥OR, NACIDO EN EL DIA DEL SE¥OR, SANTO DOMINGO DE GUZMAN COMPA¥ERO DE SAN FRANCISCO DE ASIS- QUE ES DEL SE¥OR"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: DOMINGA. 
Diosdado,M,SANTORAL,ORIGEN: LATINO
,,,SIGNIFICADO: DON DE DIOSEN EL SANTORAL UN PAPA DEL SIGLO VII QUE CURO A UN LEPROSO CON UN BESO
,,,VARIEDAD DE DEODATO
,,,GENERO: MASCULINO.  
Dirck,M,2-Jan,
Dirk,M,012-DGRC-2000,
Disibodo,M,SANTORAL,
Divico,M,497/58,
Dixie,M,CIRC 05/2000,
Dixon,M,012-DGRC-2000,
Dmitri,M,012-DGRC-2000,
Doane,M,012-DGRC-2000,
Dobry,M,012-DGRC-2000,
Dolce,M,Aug-00,
Dom,M,012-DGRC-2000,
Domenico,M,May-99,
Domiciano,M,COMUN,ORIGEN: LATINO
,,,SIGNIFICADO: VARIANTE DE DOMICIO
,,,"EN EL SANTORAL UN DIACONO DE ANCIRA, LA ACTUAL ANKARA DE TURQUIA"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO; DOMICIANA.  
Domicio,M,USJ,"ORIGEN: LATINO SIGNIFICADO: DEL LATIN""DOMITIUS"", NOMBRE DE UNA GENS PLE BEYA, DE ""DOMITUS"", DERIVADO DE DOMITO, INTENSIVO DE DOMO: DOMAR, DOME¥AR; ES DECIR ACOSTUMBRAR A LA DOMUS: CASA, SANDOMICIO MARTIR DE ASIA MENOR SIGLO IV, QUE ES MANSO. CARACTERIZACION DEL NOMBRE: COMUN GENERO: MASCULI "
Domingo,M,COMUN,
Dominic,M,012-DGRC-2000,
Dominick,M,012-DGRC-2000,
Domnion,M,SANTORAL,
Don,M,012-DGRC-2000,
Donal,M,012-DGRC-2000,
Donald,M,012-DGRC-2000,
Donaldo,M,896/78,ORIGEN: CELTICO
,,,"SIGNIFICADO: PODEROSO EN EL MUNDO, EL QUE GOBIERNA AU- DAZMENTE, EL CAUDILLO AUDAZNOMBRE POPULAR ENTRE LOS ESCOCESES"
,,,NOMBRE COMUN
,,,GENERO: MASCULINO.  
Donardo,M,616/64,
Donat,M,012-DGRC-2000,
Donatien,M,012-DGRC-2000,
Donato,M,COMUN,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""DONATUS"", DADO POR DIOS"
,,,NOMBRE COMUN
,,,GENERO; MASCULINO.  
Donnelly,M,012-DGRC-2000,
Donovan,M,012-DGRC-2000,
Dorian,M,Feb-99,
Doron,M,012-DGRC-2000,
Dory,A,012-DGRC-2000 A/OTRO,
Dorzong,M,14/99,
Dositeo,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DONACION DE DIOS, ES LA POSESION DE DIOS"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: DOSITEA.  
Dougal,M,012-DGRC-2000,
Douglas,M,867/75,
Douglass,M,012-DGRC-2000,
Dov,M,012-DGRC-2000,
Dovber,M,...9/00,
Doyel,A,ACOMP/OTRO-17/92,
Doyle,M,012-DGRC-2000,
Drake,M,012-DGRC-2000,
Drazen,M,Nov-98,
Drew,A,012-DGRC-2000 A/OTRO,
Droctoveo,M,SANTORAL,
Drogon,M,SANTORAL,
Druso,M,SANTORAL,
Duam,A,ACOMP/OTRO 16/98,
Dubiel,M,19/01,
Dudley,M,012-DGRC-2000,
Duff,M,012-DGRC-2000,
Dugan,M,012-DGRC-2000,
Duglas,M,012-DGRC-2000,
Duham,M,Aug-00,
Duilio,M,483/58,ORIGEN: LATINO
,,,SIGNIFICADO: LISTOAPRESTADO A COMBATIR
,,,NOMBRE: COMUN GENERO: MASCULINO
,,,VARIACION DE GENERO: DUILIA.  
Duke,M,012-DGRC-2000,
Dulas,M,SANTORAL,
Dulce Jesus,M,461/57,
Dulcidio,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO: BAJO LATIN ""DULCIDIO"", DE DULCIS: DULCE, SAN DULCIDIO, OBISPO DE AGEN EN FRANCIA (SIGLO VII)"
,,,GENERO: MASCULINO.  
Dulio,M,PCIA BS AS,
Duman,M,012-DGRC-2000,
Duncan,M,Oct-94,
Dunlop,M,012-DGRC-2000,
Dunn,M,012-DGRC-2000,
Dunstan,M,012-DGRC-2000,
Dunstano,M,SANTORAL,ORIGEN: ANGLOSAJON
,,,"SIGNIFICADO: DUNSTAN DE ""DUN"": COLINA Y ""STAN"": PIE DRA, PIEDRA DE LA COLINA.-SAN DUNSTANO ARZOBISPO DE CANTORBERY (SIGLO MUY VENERADO EN INGLATERRA DURANTE LA EDAD MEDIA"
,,,GENERO: MASCULINO  
Durand,M,012-DGRC-2000,
Dusan,M,012-DGRC-2000,
Duscha,M,012-DGRC-2000,
Dustin,M,.1/98,
Dusty,M,012-DGRC-2000,
Dutch,M,012-DGRC-2000,
Dwayne,M,012-DGRC-2000,
Dwight,M,012-DGRC-2000,
Dylan,M,Oct-94,
Dymas,M,012-DGRC-2000,
Eadberto,M,SANTORAL,ORIGEN: TEUTON
,,,SIGNIFICADO: DESTACADO POR SU RIQUEZA
,,,GENERO: MASCULINO  
Eadmundo,M,SANTORAL,
Eadoin,M,012-DGRC-2000,
Eamon,M,012-DGRC-2000,
Earl,M,012-DGRC-2000,
Eaton,M,012-DGRC-2000,
Eavan,A,012-DGRC-2000 A/OTRO,
Ebal,M,..1/98,
Eberardo,M,SANTORAL,ORIGEN: GERMANICO
,,,"SIGNIFICADO: AUDAZ COMO EL JABALI, FUERTE COMO EL OSO. ENTRE LOS SANTOS UN ABAD SUIZO DE EINSIEDELN (SIGLO X) NOMBRE: CO- MUN"
,,,GENERO: MASCULINO  
Ebiciaro,M,SANTORAL,
Ebon,M,SANTORAL,
Ebrulfo,M,SANTORAL,
Eciar,M,SANTORAL,
Edan,M,012-DGRC-2000,
Edberto,M,USJ,ORIGEN: GERMANICO SIGNIFICADO: EL QUE BRILLA CON SU ESPADA. MONJE IRLAN DES DEL SIGLO VIII
,,,CARACTERIZACION DEL NOMBRE: COMUN GENERO: MASCULI- NO.  
Eddie,A,012-DGRC-2000 A/OTRO,
Eddine,M,17/99,
Edelmar,M,878/46-PCIA.BS.AS.,
Edelmiro,M,759/70,ORIGEN: GERMANICO
,,,"SIGNIFICADO: CELEBRE POR LA NOBLEZA QUE REPRESENTA VARIANTE DE ADELMARO, EL NOMBRE DALMIRA ES AFERESIS DE EDELMIRA"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EDELMIRA.  
Eden,A,3-Jan,
Edesio,M,815/72,
Edeso,M,SANTORAL,
Edgar,M,896/78,ORIGEN: GERMANICO
,,,SIGNIFCADO: QUE DEFIENDE SUS BIENES CON LA LANZA NOMBRE: COMUN
,,,GENERO: MASCULINO  
Edgardo,M,COMUN,ORIGEN: TEUTON
,,,"SIGNIFICADO: EL QUE DEFIENDE SUS DOMINIOS CON LA LANZA VARIANTE DE EDGAR CON LA TERMINACION ""DO"" POR ATRACCION DE EDUARDO, RI- CARDO... NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EDGARDA.  
Edilberto,M,549/61,
Edilio,M,604/63,
Edipo,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: QUE TIENE LOS PIES HINCHADOS, HIJO DE LAYO Y LOCASTAY, POR TANTO, NIETO DE LABDACO"
,,,"SU ASCENDENCIA SE REMONTA HASTA EL PROPIO CADMO, FUNDADOR DE TEBAS"
,,,NOMBRE: COMUN
,,,GENERO; MASCULINO.-  
Edison,M,012-DGRC-2000,
Edistio,M,SANTORAL,
Edlyn,A,012-DGRC-2000 A/OTRO,
Edmundo,M,COMUN,ORIGEN: GERMANICO
,,,SIGNIFICADO: QUE PROTEGE SU RIQUEZA
,,,NOMBRE: COMUN- GENERO: MASCULINO  
Edouard,M,3-Jun,
Edsel,M,012-DGRC-2000,
Edson,M,CIRC.6/2000,
Eduardo,M,COMUN,ORIGEN: ANGLOSAJON
,,,"SIGNIFICADO: RIQUEZAPROPIEDADGUARDIANEL GUARDIAN DE LA RIQUEZASAN EDUARDO, EL MARTIR (REY DE INGLATERRA EN EL SIGLO X) ESTE ES UNO DE LOS POCOS NOMBRES INGLESES CON DIFUSION INTERNACIONAL"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EDUARDA. 
Edward,M,012-DGRC-2000,
Edwardo,M,012-DGRC-2000,
Edwin,M,21/98,
Efebo,M,SANTORAL,
Efisio,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO: HABITANTE DE EFESO, CIUDAD JONIASAN EFISIO FUE UN SOLDADO MARTIRIZADO EN CAGLIARI (SIGLO III)"
,,,GENERO: MASCULINO.  
Efraim,M,USJ,"ORIGEN : HEBREO SIGNIFICADO: MUY FRUCTIFERO, DOBLEMENTE FRUCTIFERO, SE- GUNDO HIJO DE JOSE Y ASENAT EN LA GENEALOGIA BIBLICA. CARACTERIZACION DEL NOMBRE: COMUN GENERO: MASCULINO  "
Efrain,M,596/63,
Efrat,M,012-DGRC-2000,
Efrem,M,SANTORAL,"SIGNIFICADO: VARIANTE DE EFRAIMSAN EFRAM, OBISPO DE CARIA EN EL SIGLO V"
,,,GENERO: MASCULINO.  
Efren,M,819/72,ORIGEN: HEBREO
,,,"SIGNIFICADO: EL QUE FRUCTIFICA, EL QUE DA FRUTOS"
,,,GENERO: MASCULINO  
Egan,M,012-DGRC-2000,
Egberto,M,SANTORAL,ORIGEN: GERMANICO
,,,SIGNIFICADO: BRILLANTE POR SU ESPADA
,,,GENERO: MASCU LINO.  
Egduno,M,SANTORAL,
Egeo,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DE LA UNION DE PANDION CON PILA, HIJA DEL REY PILAS, NACE EGEO, AL IGUAL QUE SUS HERMANOS EN MEGARA"
,,,GENERO: MASCU LINO.  
Egidio,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: DEL BAJO LATIN ""AEGEDIUS"", SEGUN LA ETIMO- LOGIA POPULAR SIGNIFICA EL PROTEGIDO, EL DEFENDIDO, EL QUE TRANSPORTA EN LA BATALLA EL ESCUDO DE PIEL DE CABRAEN EL SANTORAL, UN ERMITA¥O PRO- VENZAL DEL SIGLO VII"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE 
Egisto,M,297/52,ORIGEN: GRIEGO
,,,"SIGNIFICADO: CRIADO CON LA LECHE DE CABRA, EN LA MITOLO- GIA, EL AMANTE DE CLITEMESTRA Y EL ASESINO DE AGAMENON, MUERTO A SU VEZ POR ORESTES"
,,,GENERO: MASCULINO.  
Egmidio,M,19/99,
Egon,M,Feb-90,ORIGEN: LATINO
,,,"SIGNIFICADO: HABITANTE DE EFESO, CIUDAD JONIA, SAN EFISIO FUE UN SOLDADO MARTIRIZADO EN CAGLIARI (SIGLO III) GENERO: MASCULINO.-  "
Eial,M,14/99,
Eibe,M,Dec-99,
Eiichi,M,20/01,
Einar,M,553/61,
Eitan,M,17/90,
Eitel,M,PCIA BS AS,
Eladio,M,COMUN,ORIGEN: GRIEGO
,,,SIGNIFICADO: ARROGANTEEL QUE HA NACIDO Y VIVIDO EN GRECIA
,,,VARIANTE DE HELADIO
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: ELADIA.  
Elal,A,ACOMP/OTRO 4/96,
Elazar,M,15/01,
Elbio,M,546/60,ORIGEN: CELTICO
,,,SIGNIFICADO: QUE SOBRESALE POR SU ALTURA
,,,NOMBRE: CO- MUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: ELBIAELBA.  
Elden,M,012-DGRC-2000,
Eldon,M,012-DGRC-2000,
Eleazar,M,851-74,ORIGEN: HEBREO
,,,"SIGNIFICADO: DIOS HA AYUDADO , CABEZA DE ESTIRPE SACERDO TAL DE SU NOMBRE Y CUYA TUMBA SE SE¥ALABA EN LAS MONTA¥AS DE EFRAN"
,,,GENERO: MASCULINO.  
Eleazaro,M,USJ,"ORIGEN: HEBREO SIGNIFICADO; DIOS ES MI SOCORRO, DIOS ME AYUDARA AL QUE DIOS AUXILIA CUANDO PELIGRA.-CARACTERIZACION DEL NOMBRE: COMUN GENERO: MASCULINO.  "
Elek,M,012-DGRC-2000,
Elenio,M,514 /59,
Eleno,M,21/01,
Eleodoro,M,458/57,ORIGEN: GRIEGO
,,,"SIGNIFICADO: LLEGADO DEL SOL, COMO EL SOL. GENERO: MASCULINO"
,,,VARIACION DE GENERO: ELEODORA.  
Eleuterio,M,SANTORAL,
Elhanan,M,18/02,
Eli,M,632/65,ORIGEN: HEBREO
,,,"SIGNIFICADO: YAHVEH ES GRANDE, ALTURA, EXALTADO, SUBLIME- SACERDOTE EN EL SANTUARIO DE ARCA, EN SILO, RELACIONADO CON LA HISTORIA DE LA JUVENTUD DE SAMUEL Y LAS GUERRAS DE LOS FILISTEOS"
,,,GENERO: FEME- NINO. 
Eliab,M,Apr-99,
Eliahu,M,13/00,
Eliam,M,..9/00,
Elian,M,828-73,
Elias,M,887-77,ORIGEN: HEBREO
,,,"SIGNIFICADO: YAHVEH ES DIOS, DIOS ME DOMINA, FUE EL SAL- VADOR DE LA RELIGION DE YAHVEHY SU POPULARIDAD LLEGO A SER LEGENDARIA VIVIO EN EL TIEMPO DEL REY AJAB"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Elicio,M,COMUN,
Elido,M,884-77,
Eliecer,M,Jan-95,
Eliel,M,600-63,
Eliezer,M,297-52,ORIGEN: HEBREO
,,,"SIGNIFICADO: MI DIOS ES AYUDA, VARIEDAD DE ""ELEAZARIO"" GENERO: MASCULINO  "
Eligio,M,593/63,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""ELIGIUS"", EL ELEGIDO DE DIOS, VARIEDAD DE ELOY"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENE RO: ELIGIA.-  
Elijah,M,012-DGRC-2000,
Elimelej,M,18/99,
Elimenas,M,SANTORAL,
Elio,M,340-53,ORIGEN: LATINO
,,,"SIGNIFICADO: REY QUE AMA EL AIRE, VARIANTE DE HELIO"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Eliot,M,012-DGRC-2000,
Eliott,M,4-Aug,
Elisandro,M,566/61,
Eliseo,M,COMUN,ORIGEN: HEBREO
,,,"SIGNIFICADO: DIOS HA AYUDADO, DIOS CUIDA MI SALUD, EL PROFETA, HEREDERO ESPIRITUAL DE ELIAS, ELISEO EQUIVALE A JOSUE Y A JESUS NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO; ELISEA.  
Elisio,M,PCIA BS AS,
Eljanan,M,Aug-00,
Elkan,M,012-DGRC-2000,
Ellery,M,012-DGRC-2000,
Elliot,M,012-DGRC-2000,
Ellis,A,012-DGRC-2000 A/OTRO,
Elmo,M,012-DGRC-2000,
Eloi,M,SANTORAL,
Eloy,M,815-72,
Elpidio,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: ESPERANZADO, ENTRE LOS SANTOS DE ESTE NOM- BRE, UN ABAD DE ANCONA EN EL SIGLO V."
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO  
Elsio,M,PCIA BS AS,
Elton,M,012-DGRC-2000,
Eluhuei,A,ACOMP/OTRO-15/95,
Eluney,A,ACOMP/OTRO-8/96,
Elvin,M,012-DGRC-2000,
Elvio,M,508/59,
Elvis,M,Mar-98,
Ely,A,4/01 ACOM DE OTRO,
Emanuel,M,823-73,SIGNIFICADO: VARIANTE DE MANUEL
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EMANUELA.  
Emanuele,M,May-00,
Emerenciano,M,USJ,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN""EMERENTIANUS"", PATRONIMICO DE ""EMERENTIUS"", DERIVADO DE ""EMERENS"": MERECER, ADQUIRIR UN DERECHO SOBRE ALGO"
,,,CARACTERIZACION DEL NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EMERENCIANA. 
Emerio,M,656/67,
Emerson,M,Nov-93,
Emery,M,012-DGRC-2000,
Emeterio,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: MEDIA FIERASEMI LEON, EL QUE MERECE CARI ¥O, EL QUE ES COMO NOSOTROS, SAN EMETERIO, SOLDADO MARTIR EN CALAHORRA (LOGRO¥O) A FINES DEL SIGLO III"
,,,NOMBRE: COMUN
,,,GENERO; MASCULINO  
Emigdio,M,COMUN,ORIGEN: GRIEGO
,,,SIGNIFICADO: DE PIEL MORENA
,,,GENERO: MASCULINO.  
Emil,M,13/92,
Emiliano,M,825-73,SIGNIFICADO: VARIEDAD DE EMILIO
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: EMILIANA.  
Emilio,M,COMUN,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""AEMILIUS"", NOMBRE DE UNA GENS RO MANA, EL QUE SE ESFUERZA EN EL TRABAJO, EL TRABAJADOR AUDAZ"
